case,truth,T,solver,mult,eigtol,seconds,nullity,certified,rule,gap,spec1,spec2,spec3,spec4,spec5
sphere4-d6,4,Float16,KrylovSolver,3.0,3.58e-07,0.05,0,false,threshold,138.9,8.28e-05,0.00107,0.00114,0.00336,0.00684
sphere4-d6,4,Float16,KrylovSolver,10.0,1.19e-06,0.07,0,false,threshold,179.5,0.000107,0.000726,0.000906,0.00241,0.0059
sphere4-d6,4,Float16,KrylovSolver,30.0,3.58e-06,0.04,0,true,threshold,1821,0.00109,0.00125,0.00191,0.00403,0.00638
sphere4-d6,4,Float16,KrylovSolver,100.0,1.19e-05,0.04,0,false,threshold,474.5,0.000283,0.000342,0.00118,0.00309,0.00524
video-20x20x10x3,3,Float64,ArpackSolver,1.0,2.22e-16,0.42,3,true,gap,2.394e+11,7.25e-18,1.04e-16,1.39e-16,0.000266,0.000272
video-20x20x10x3,3,Float64,ArpackSolver,3.0,6.66e-16,0.44,3,true,gap,2.394e+11,2.82e-17,8.92e-17,1.7e-16,0.000266,0.000272
video-20x20x10x3,3,Float64,ArpackSolver,10.0,2.22e-15,0.36,3,true,gap,2.394e+11,9.89e-17,1.19e-16,1.36e-16,0.000266,0.000272
video-20x20x10x3,3,Float64,ArpackSolver,30.0,6.66e-15,0.33,3,true,gap,2.394e+11,4.47e-17,8.82e-17,2.53e-16,0.000266,0.000272
video-20x20x10x3,3,Float64,ArpackSolver,100.0,2.22e-14,0.36,3,true,gap,2.394e+11,2.34e-18,8.41e-17,1.48e-16,0.000266,0.000272
video-20x20x10x3,3,Float64,KrylovSolver,1.0,2.22e-16,3.99,3,true,gap,2.394e+11,3.43e-17,1.88e-16,4.17e-16,0.000266,0.000272
video-20x20x10x3,3,Float64,KrylovSolver,3.0,6.66e-16,4.18,3,true,gap,2.394e+11,7.26e-18,2.49e-16,2.54e-16,0.000266,0.000272
video-20x20x10x3,3,Float64,KrylovSolver,10.0,2.22e-15,3.77,3,true,gap,2.394e+11,2.48e-16,3.29e-16,3.95e-16,0.000266,0.000272
video-20x20x10x3,3,Float64,KrylovSolver,30.0,6.66e-15,3.94,3,true,gap,2.394e+11,3.69e-17,2.61e-16,3.52e-16,0.000266,0.000272
video-20x20x10x3,3,Float64,KrylovSolver,100.0,2.22e-14,3.71,3,true,gap,2.394e+11,6.22e-17,2.76e-16,5.43e-16,0.000266,0.000272
video-20x20x10x3,3,Float32,ArpackSolver,1.0,1.19e-07,0.54,3,true,gap,446,4.14e-09,1.39e-08,3.35e-08,0.000266,0.000272
video-20x20x10x3,3,Float32,ArpackSolver,3.0,3.58e-07,0.49,3,true,gap,446,1.11e-09,8.49e-09,1.72e-08,0.000266,0.000272
video-20x20x10x3,3,Float32,ArpackSolver,10.0,1.19e-06,0.51,3,true,gap,446,5.38e-09,1.37e-08,5.08e-08,0.000266,0.000272
video-20x20x10x3,3,Float32,ArpackSolver,30.0,3.58e-06,0.42,3,true,gap,446,4.94e-09,1.77e-08,2.31e-08,0.000266,0.000272
