family,case,dims,valence,expected_final,T,seed,config,solver,restricted_nullity,final_nullity,certified,status,undecidable,near_null,rule,gap,selected,next_value,max_zlaw_resid,seconds,notes
sphere,sphere3-64,64x64x64,3,3,Float32,20260908,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,16.0001,4.636e-8;6.38e-8;8.903e-8;9.944e-8;1.049e-7;1.32e-7;1.521e-7;1.766e-7;1.934e-7;3.991e-7;4.732e-7;4.855e-7;5.504e-7,1.52589e-05,0.00375685,1.570209,
sphere,sphere3-64,64x64x64,3,3,Float32,20260909,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,58.2536,6.291e-10;4.612e-8;5.096e-8;7.607e-8;1.03e-7;1.068e-7;1.097e-7;1.908e-7;2.945e-7;3.824e-7;4.062e-7;4.173e-7;4.303e-7,5.55549e-05,0.00044963,2.360651,
sphere,sphere3-100,100x100x100,3,3,Float64,20260904,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,2.95688e+10,3.509e-17;8.683e-17;9.636e-17;1.229e-16;1.535e-16;2.004e-16;2.743e-16;3.18e-16;3.753e-16;4.097e-16;7.135e-16;9.102e-16;1.033e-15,5.25248e-05,2.48443e-13,7.093863,
sphere,sphere3-100,100x100x100,3,3,Float64,20260905,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,6.158e+09,3.64e-17;1.392e-16;1.552e-16;2.78e-16;3.408e-16;4.053e-16;4.539e-16;5.848e-16;7.012e-16;7.663e-16;7.845e-16;8.801e-16;1.081e-15,1.09388e-05,1.28509e-13,11.725008,
sphere,sphere3-100,100x100x100,3,3,Float64,20260906,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,1.98964e+10,1.645e-17;1.408e-16;1.412e-16;2.168e-16;4.267e-16;5.032e-16;5.825e-16;6.163e-16;6.468e-16;8.55e-16;9.645e-16;1.023e-15;1.518e-15,3.53432e-05,6.28375e-13,6.451116,
sphere,sphere3-100,100x100x100,3,3,Float64,20260907,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,5.73653e+10,1.776e-17;7.673e-17;7.68e-17;1.464e-16;1.935e-16;2.211e-16;2.673e-16;3.473e-16;3.607e-16;4.175e-16;7.591e-16;8.286e-16;1.482e-15,0.000101901,9.47607e-13,7.325491,
sphere,sphere3-100,100x100x100,3,3,Float64,20260908,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,1.32011e+09,5.453e-18;1.543e-17;9.36e-17;1.662e-16;2.152e-16;2.173e-16;3.071e-16;4.831e-16;4.984e-16;7.057e-16;7.684e-16;8.61e-16;2.154e-15,2.84411e-06,7.8833e-12,7.277863,
sphere,sphere3-100,100x100x100,3,3,Float64,20260909,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,4.07276e+09,3.879e-19;7.991e-17;8.034e-17;1.403e-16;1.583e-16;1.614e-16;2.215e-16;3.149e-16;3.167e-16;3.197e-16;5.381e-16;7.161e-16;1.896e-15,7.72074e-06,4.32593e-12,6.523779,
sphere,sphere3-100,100x100x100,3,3,Float32,20260904,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,48.8978,1.415e-8;4.211e-8;6.843e-8;7.976e-8;8.063e-8;1.314e-7;1.377e-7;1.401e-7;1.724e-7;1.87e-7;2.062e-7;2.181e-7;4.342e-7,4.66326e-05,0.000207736,2.193046,
sphere,sphere3-100,100x100x100,3,3,Float32,20260905,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,20.2872,2.171e-8;3.508e-8;3.861e-8;6.046e-8;7.277e-8;1.204e-7;1.331e-7;1.534e-7;1.61e-7;2.029e-7;3.677e-7;4.423e-7;5.107e-7,1.93474e-05,0.000388989,4.321117,
sphere,sphere3-100,100x100x100,3,3,Float32,20260906,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,29.4305,2.433e-8;4.738e-8;6.596e-8;6.798e-8;8.196e-8;1.189e-7;1.312e-7;1.879e-7;2.084e-7;2.295e-7;2.498e-7;3.006e-7;3.812e-7,2.80671e-05,0.000306086,2.274188,
sphere,sphere3-100,100x100x100,3,3,Float32,20260907,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,115.962,1.574e-8;6.053e-8;6.195e-8;1.008e-7;1.031e-7;1.635e-7;1.813e-7;1.899e-7;2.031e-7;2.07e-7;2.383e-7;4.623e-7;6.731e-7,0.00011059,0.00248993,4.284553,
sphere,sphere3-100,100x100x100,3,3,Float32,20260908,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,67.8719,1.528e-9;1.647e-8;3.267e-8;4.458e-8;8.945e-8;1.449e-7;1.519e-7;2.113e-7;2.377e-7;2.59e-7;2.646e-7;2.827e-7;3.317e-7,6.47277e-05,0.00029078,4.099272,
sphere,sphere3-100,100x100x100,3,3,Float32,20260909,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,91.4346,8.228e-8;8.449e-8;1.007e-7;1.22e-7;1.522e-7;1.597e-7;1.658e-7;2.079e-7;2.527e-7;2.539e-7;2.594e-7;3.077e-7;3.344e-7,8.71988e-05,9.98676e-05,4.216988,
sphere,sphere3-140,140x140x140,3,3,Float64,20260904,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,1.50932e+08,2.069e-17;5.346e-17;8.413e-17;9.037e-17;1.364e-16;1.684e-16;2.237e-16;3.341e-16;3.601e-16;4.4e-16;6.468e-16;8.946e-16;1.186e-15,2.68108e-07,2.11447e-11,13.986097,
sphere,sphere3-140,140x140x140,3,3,Float64,20260905,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,6.94528e+09,2.758e-17;7.056e-17;8.723e-17;1.59e-16;2.634e-16;3.431e-16;3.71e-16;3.845e-16;4.026e-16;4.812e-16;5.463e-16;5.598e-16;5.934e-16,1.23373e-05,7.43588e-13,11.414047,
sphere,sphere3-140,140x140x140,3,3,Float64,20260906,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,3.12647e+10,4.069e-17;8.846e-17;1.082e-16;1.932e-16;1.985e-16;2.088e-16;3.353e-16;3.652e-16;4.805e-16;5.702e-16;6.345e-16;6.775e-16;6.887e-16,5.55373e-05,1.72738e-13,11.960064,
sphere,sphere3-140,140x140x140,3,3,Float64,20260907,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,1.25641e+09,7.715e-17;7.809e-17;1.198e-16;1.569e-16;1.788e-16;2.39e-16;3.38e-16;3.602e-16;4.043e-16;4.209e-16;5.562e-16;7.502e-16;9.318e-16,2.23184e-06,3.57542e-10,12.184396,
sphere,sphere3-140,140x140x140,3,3,Float64,20260908,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,3.4333e+10,6.755e-17;7.874e-17;1.519e-16;3.427e-16;4.027e-16;4.203e-16;4.358e-16;4.397e-16;4.996e-16;5.993e-16;6.466e-16;1.002e-15;1.126e-15,6.09876e-05,7.34698e-13,20.083161,
sphere,sphere3-140,140x140x140,3,3,Float64,20260909,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,9.52608e+08,7.048e-17;8.217e-17;1.46e-16;1.759e-16;2.492e-16;3.029e-16;4.053e-16;4.066e-16;4.472e-16;4.562e-16;5.297e-16;6.646e-16;7.874e-16,1.69217e-06,1.03549e-11,11.717130,
sphere,sphere3-140,140x140x140,3,3,Float32,20260904,mf-arpack,ArpackSolver,14,3,false,ok,0,0,threshold,70.4861,1.245e-8;2.385e-8;3.368e-8;9.202e-8;1.11e-7;1.297e-7;1.542e-7;1.848e-7;2.433e-7;2.438e-7;3.601e-7;3.82e-7;3.873e-7;5.543e-7,6.72208e-05,0.000141328,4.110971,
sphere,sphere3-140,140x140x140,3,3,Float32,20260905,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,16.9905,1.192e-8;7.171e-8;7.309e-8;7.935e-8;9.566e-8;1.29e-7;1.308e-7;1.395e-7;1.599e-7;1.649e-7;2.347e-7;2.434e-7;3.237e-7,1.62034e-05,0.00024425,3.545417,
sphere,sphere3-140,140x140x140,3,3,Float32,20260906,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,117.403,4.18e-8;9.242e-8;9.807e-8;1.011e-7;1.179e-7;1.206e-7;1.475e-7;1.553e-7;1.569e-7;2.346e-7;2.357e-7;2.527e-7;3.695e-7,0.000111964,5.83392e-05,4.193711,
sphere,sphere3-140,140x140x140,3,3,Float32,20260907,mf-arpack,ArpackSolver,14,3,false,ok,0,0,threshold,73.6955,3.835e-10;3.125e-8;3.995e-8;7.451e-8;7.904e-8;9.053e-8;1.252e-7;1.326e-7;2.073e-7;2.218e-7;2.661e-7;3.665e-7;4.927e-7;8.453e-7,7.02815e-05,0.000692199,5.039644,
sphere,sphere3-140,140x140x140,3,3,Float32,20260908,mf-arpack,ArpackSolver,13,3,true,ok,0,0,gap,102.269,3.226e-9;6.689e-9;1.698e-8;3.052e-8;6.863e-8;8.475e-8;8.862e-8;1.069e-7;1.437e-7;2.21e-7;2.565e-7;3.51e-7;3.561e-7,9.75309e-05,0.000199372,3.872808,
sphere,sphere3-140,140x140x140,3,3,Float32,20260909,mf-arpack,ArpackSolver,13,3,false,ok,0,0,threshold,45.874,2.345e-9;6.864e-8;7.539e-8;8.038e-8;1.543e-7;1.598e-7;1.749e-7;3.098e-7;3.477e-7;3.478e-7;3.639e-7;3.946e-7;5.752e-7,4.37489e-05,0.000162188,7.644250,
sphere,sphere4-24,24x24x24x24,4,4,Float64,20260904,mf-arpack,ArpackSolver,13,4,true,ok,0,0,gap,1.37965e+11,5.963e-17;9.072e-17;2.895e-16;3.101e-16;3.139e-16;3.572e-16;3.762e-16;3.994e-16;4.973e-16;6.434e-16;7.539e-16;1.099e-15;1.24e-15,0.000245075,1.08089e-13,3.509755,
sphere,sphere4-24,24x24x24x24,4,4,Float64,20260905,mf-arpack,ArpackSolver,13,4,true,ok,0,0,gap,2.19189e+11,3.135e-18;5.505e-17;5.835e-17;1.553e-16;1.57e-16;2.257e-16;2.928e-16;3.222e-16;3.279e-16;4.195e-16;4.823e-16;5.46e-16;1.005e-15,0.000389359,8.18339e-14,0.526862,
